Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
31/10/2023,498.7,111.7,9.8,107.4,40.3,364.8,1132.7,445.9,170.2,9.8,115.4,57,452.1,1250.4,960,325.6,17.9,105.9,39.4,725.4,1925.005013,2914.950761,1826.530612,986.0335196,977.6674938,1988.486842
30/11/2023,366.8,38.4,219.4,56.6,54.9,441.4,1177.5,231,23.2,380.5,62.5,57.3,512,1266.5,1165.3,161.9,735.3,111.6,152.4,1077.8,3176.93566,4216.145833,3351.412944,1971.731449,2775.956284,2441.776167
31/12/2023,298,0.2,173.1,25.4,92.1,394.3,983.1,625.7,20,369.7,44.7,57.9,712.5,1830.5,438,150,385,100,50,728,1469.798658,750000,2224.147891,3937.007874,542.888165,1846.309916
31/1/2024,485.1,3.3,18.37,32.1,67.9,625.3,1232.07,444,0,0,21.5,60.8,283,809.3,834.9,7,27.83,44.3,58.3,999.2,1721.088435,2121.212121,1514.97006,1380.062305,858.6156112,1597.952983
29/2/2024,477.2,0,7.89,20.2,36.6,370.6,912.49,333,0,0,14,28.6,360,735.6,838.9,0.3,13.59,27.4,37.1,644.5,1757.963118,,1722.43346,1356.435644,1013.661202,1739.071775
31/3/2024,508.4,0,125.28,22.8,30.2,712.5,1399.18,391.8,0,1.3,13.7,27.6,403.4,837.8,1024.6,-0.1,220.15,44.4,44.4,1287.9,2015.34225,,1757.263729,1947.368421,1470.198675,1807.578947
30/4/2024,612.3,8.5,392.6,24,38.8,635.7,1711.9,405.2,,254.1,18.5,27.1,392,1096.9,1194,15.3,787.3,28.1,44,1171.7,1950.024498,1800,2005.348956,1170.833333,1134.020619,1843.165015
31/5/2024,581.9,74.7,344.8,22.4,31.3,711.2,1766.3,396.5,0,226.3,23.7,27.1,432.3,1105.9,1159.6,157.2,676,20.6,28.9,1277.4,1992.782265,2104.417671,1960.556845,919.6428571,923.3226837,1796.119235
30/6/2024,445.1,19.5,289.06,35.5,50.2,507.7,1347.06,370.5,0,311.3,32.6,37.8,520.3,1272.5,921,46.3,703.13,12.2,27.3,980.3,2069.197933,2374.358974,2432.470767,343.6619718,543.8247012,1930.864684
31/7/2024,541.2,0,167.3,54.4,48.1,230.7,1041.7,470.3,0,146,38.1,52.4,413.1,1119.9,1012.1,0.8,350.2,62.8,38.7,599.5,1870.103474,,2093.245666,1154.411765,804.5738046,2598.612917
31/8/2024,279.3,12.5,309,88.3,53.1,224.1,966.3,243.8,0,326.8,51.3,52.2,22.4,696.5,560.2,24.6,702.2,110.9,42.2,356.1,2005.728607,1968,2272.491909,1255.94564,794.7269303,1589.022758
30/9/2024,259.4,121.4,296.5,95.3,34.8,260,1067.4,247.9,139,297.2,72.6,17.4,248.5,1022.6,521.1,306,668.9,108.5,44.2,517.6,2008.866615,2520.593081,2255.986509,1138.509969,1270.114943,1990.769231
31/10/2024,486,8.2,163.8,134.3,62.8,419.7,1274.8,422.9,0,0,113.8,80.6,412.2,1029.5,850.4,17.6,358.2,141.9,41.9,784.4,1749.794239,2146.341463,2186.813187,1056.589724,667.1974522,1868.954015
30/11/2024,587.7,2.7,261,56.1,67,622.4,1596.9,454.5,0,165.5,51.8,75.1,429.4,1176.3,1087.2,6.4,521.1,57.5,41.4,1130.8,1849.92343,2370.37037,1996.551724,1024.955437,617.9104478,1816.838046
31/12/2024,682,400,439,35,55,723,2334,460,51,492.5,19,29,481,1532.5,1000,20,400,100,40,1000,1466.27566,50,911.1617312,2857.142857,727.2727273,1383.125864
31/1/2025,415.4,28,135,39.7,74.3,447,1139.4,345.5,28,151.5,20.7,48.4,453,1047.1,744.3,58.4,319.1,47.6,66.6,851,1791.766972,2085.714286,2363.703704,1198.992443,896.3660834,1903.803132
28/2/2025,493.5,0,161.4,38.6,55.4,540.9,1289.8,432.3,30,144.3,24.2,35.7,468.4,1134.9,942.9,27,347.6,49.2,54.8,943.7,1910.638298,,2153.655514,1274.611399,989.1696751,1744.684785
31/3/2025,600,150,300,26.5,30,700,1806.5,467.2,121,332,20.1,32.9,546.6,1519.8,1011,398.6,610.9,40.2,29.5,1249,1685,2657.333333,2036.333333,1516.981132,983.3333333,1784.285714
30/4/2025,471,121,259,50,52,775,1728,446.9,127.1,311.6,39.6,37.3,573.5,1536,902,291,644,62,56,1346,1915.07431,2404.958678,2486.486486,1240,1076.923077,1736.774194
31/5/2025,517,130,296,65,48,688,1744,481.6,131.5,327.4,34.2,46.1,587.7,1608.5,988,308,700,89,45,1253,1911.025145,2369.230769,2364.864865,1369.230769,937.5,1821.22093
30/6/2025,365.1,43,217.6,72.2,65.3,545.1,1308.3,373.5,199.4,317.2,40.2,44.6,546.8,1521.7,637.8,120,784.4,47,37.1,1028,1746.918652,2790.697674,3604.779412,650.9695291,568.1470138,1885.892497
